userID,outletcode,daymon,timemon,daytue,timetue,daywed,timewed,daythu,timethu,dayfri,timefri,daysat,timesat,daysun,timesun,modifydate,status
DTS10,1A,---,---,Mon,10am,---,---,Wed,10am,---,---,---,---,---,---,22-May-20 9:17:14 AM,
DTS10,1B,---,---,Mon,10am,---,---,Wed,10am,---,---,---,---,---,---,22-May-20 9:17:14 AM,
