id,ReferenceNo,BuyerCode,VendorCode,Description,UploadFileName,FilePath
146,FRZ0000019,KHLAU1,UFC,CPO165012,FRZ0000019_KHLAU1_UFC_146.pdf,C:\spAttachment\Acknowledge\FRZ0000019_KHLAU1_UFC_146.pdf
147,SPF0000233,HLWONG,APB,Tiger beer 24sx 6500ctns (Oct),SPF0000233_HLWONG_APB_147.xlsx,C:\spAttachment\Acknowledge\SPF0000233_HLWONG_APB_147.xlsx
148,FRZ0000020,KHLAU1,ZMP1,CPO162674,FRZ0000020_KHLAU1_ZMP1_148.pdf,C:\spAttachment\Acknowledge\FRZ0000020_KHLAU1_ZMP1_148.pdf
149,SPF0000235,ZJLOH,NS,1,SPF0000235_ZJLOH_NS_149.jpeg,C:\spAttachment\Acknowledge\SPF0000235_ZJLOH_NS_149.jpeg
150,SPF0000235,ZJLOH,NS,2,SPF0000235_ZJLOH_NS_150.jpeg,C:\spAttachment\Acknowledge\SPF0000235_ZJLOH_NS_150.jpeg
151,SPF0000235,ZJLOH,NS,3,SPF0000235_ZJLOH_NS_151.jpeg,C:\spAttachment\Acknowledge\SPF0000235_ZJLOH_NS_151.jpeg
